Date,aapl,cvx,ge
2011-4-12,329.47,98.44,18.99
2011-4-11,327.89,101.84,19.15
2011-4-8,332.11,103.61,19.16
2011-4-7,335.10,102.93,19.31
2011-4-6,335.06,102.67,19.50
2011-4-5,335.91,103.30,19.29
2011-4-4,338.19,102.26,19.48
2011-4-1,341.53,102.35,19.30
2011-3-31,345.44,101.56,19.03
2011-3-30,345.56,102.06,19.09
2011-3-29,347.87,101.45,18.85
2011-3-28,347.36,100.19,18.74
2011-3-25,348.45,100.89,18.74
2011-3-24,341.93,99.57,18.77
2011-3-23,336.20,99.66,18.53
2011-3-22,338.20,99.43,18.50
2011-3-21,336.31,99.39,18.72
2011-3-18,327.76,97.13,18.27
2011-3-17,331.69,96.60,18.24
2011-3-16,327.11,94.02,17.98
2011-3-15,342.39,95.65,18.61
2011-3-14,350.45,95.24,18.90
2011-3-11,348.89,94.42,19.32
2011-3-10,343.62,93.62,19.08
2011-3-9,349.37,96.51,19.58
2011-3-8,352.63,98.05,19.58
2011-3-7,352.23,97.33,19.34
2011-3-4,356.83,98.03,19.33
2011-3-3,356.40,98.45,19.69
2011-3-2,349.02,97.77,19.28
2011-3-1,346.24,97.23,19.22
2011-2-28,350.10,98.03,19.85
2011-2-25,345.10,96.47,19.76
2011-2-24,339.86,96.40,19.53
2011-2-23,339.60,96.63,19.20
2011-2-22,335.63,94.79,19.62
2011-2-18,347.47,93.28,20.21
2011-2-17,355.15,91.81,20.28
2011-2-16,359.93,91.33,20.21
2011-2-15,356.73,91.03,20.23
2011-2-14,356.02,91.60,20.26
2011-2-11,353.71,90.45,20.10
2011-2-10,351.42,90.69,20.05
2011-2-9,355.01,90.26,20.09
2011-2-8,352.07,91.66,20.06
2011-2-7,348.78,91.59,19.67
2011-2-4,343.45,91.07,19.38
2011-2-3,340.42,91.26,19.56
2011-2-2,341.29,90.48,19.52
2011-2-1,341.99,90.24,19.60
2011-1-31,336.33,89.03,18.98
2011-1-28,333.14,87.56,19.04
2011-1-27,340.19,88.86,19.11
2011-1-26,340.82,88.75,18.78
2011-1-25,338.39,88.23,18.83
2011-1-24,334.48,88.25,18.89
2011-1-21,323.84,87.95,18.61
2011-1-20,329.75,86.94,17.37
2011-1-19,335.86,87.19,17.28
2011-1-18,337.65,87.54,17.53
2011-1-14,345.41,87.06,17.74
2011-1-13,342.64,86.45,17.53
2011-1-12,341.39,86.70,17.60
2011-1-11,338.63,86.12,17.56
2011-1-10,339.44,84.79,17.45
2011-1-7,333.16,85.52,17.37
2011-1-6,330.79,85.05,17.49
2011-1-5,331.06,85.75,17.57
2011-1-4,328.37,85.90,17.54
2011-1-3,326.67,86.22,17.23
2010-12-31,319.72,85.58,17.24
2010-12-30,320.81,85.90,17.14
2010-12-29,322.43,85.69,17.22
2010-12-28,322.61,85.52,17.27
2010-12-27,321.82,84.52,17.14
2010-12-23,320.75,85.04,17.00
2010-12-22,322.30,84.33,17.02
2010-12-21,321.35,83.68,16.74
2010-12-20,319.37,83.28,16.55
2010-12-17,317.79,82.99,16.55
2010-12-16,318.42,83.52,16.62
2010-12-15,317.54,82.54,16.36
2010-12-14,317.47,82.88,16.54
2010-12-13,318.84,82.87,16.48
2010-12-10,317.74,81.62,16.57
2010-12-9,316.95,81.26,16.02
2010-12-8,318.18,80.78,15.93
2010-12-7,315.41,80.93,15.93
2010-12-6,317.33,79.67,15.62
2010-12-3,314.65,79.61,15.69
2010-12-2,315.35,79.25,15.60
2010-12-1,313.61,77.56,15.24
2010-11-30,308.41,75.93,14.80
2010-11-29,314.08,76.61,14.93
2010-11-26,312.23,76.95,14.78
2010-11-24,312.03,77.77,14.91
2010-11-23,306.01,76.67,14.74
2010-11-22,310.60,78.26,14.99
2010-11-19,304.03,78.72,15.17
2010-11-18,305.72,78.61,15.00
2010-11-17,297.85,77.33,14.78
2010-11-16,298.94,77.35,14.83
2010-11-15,304.34,78.91,15.15
2010-11-12,305.32,79.45,15.20
2010-11-11,313.86,80.05,15.29
2010-11-10,315.23,79.20,15.48
2010-11-9,313.30,77.70,15.54
2010-11-8,315.82,78.85,15.63
2010-11-5,314.34,79.02,15.65
2010-11-4,315.47,79.17,15.44
2010-11-3,310.05,76.90,15.02
2010-11-2,306.64,76.39,14.91
2010-11-1,301.50,75.74,14.92
2010-10-29,298.33,76.81,14.98
2010-10-28,302.55,78.52,15.04
2010-10-27,305.12,78.40,15.07
2010-10-26,305.34,79.18,15.11
2010-10-25,306.12,78.92,15.02
2010-10-22,304.76,78.62,15.02
2010-10-21,306.80,78.34,15.06
2010-10-20,307.80,78.13,15.01
2010-10-19,306.77,76.98,15.03
2010-10-18,315.20,78.55,15.20
2010-10-15,311.97,77.75,15.24
2010-10-14,299.65,78.01,16.05
2010-10-13,297.50,77.80,16.16
2010-10-12,295.91,77.96,16.08
2010-10-11,292.76,77.84,15.86
2010-10-8,291.48,78.05,16.01
2010-10-7,286.67,77.66,15.94
2010-10-6,286.64,78.01,15.80
2010-10-5,286.40,77.54,15.44
2010-10-4,276.19,75.61,15.06
2010-10-1,280.03,76.20,15.30
2010-9-30,281.25,75.36,15.20
2010-9-29,284.84,75.58,15.30
2010-9-28,284.33,75.21,15.37
2010-9-27,288.60,74.46,15.36
2010-9-24,289.75,74.50,15.58
2010-9-23,286.38,73.03,15.09
2010-9-22,285.22,73.69,15.43
2010-9-21,281.27,74.16,15.45
2010-9-20,280.74,74.30,15.48
2010-9-17,272.95,72.96,15.23
2010-9-16,274.14,73.51,15.18
2010-9-15,267.84,73.65,15.17
2010-9-14,265.70,73.93,15.00
2010-9-13,264.69,73.69,15.08
2010-9-10,261.09,73.29,14.83
2010-9-9,260.75,71.93,14.77
2010-9-8,260.61,71.83,14.57
2010-9-7,255.54,71.65,14.33
2010-9-3,256.49,72.53,14.29
2010-9-2,249.95,72.02,14.06
2010-9-1,248.13,71.39,13.93
2010-8-31,240.96,68.88,13.44
2010-8-30,240.37,68.60,13.48
2010-8-27,239.49,69.67,13.66
2010-8-26,238.16,68.19,13.46
2010-8-25,240.75,68.87,13.53
2010-8-24,237.82,68.60,13.53
2010-8-23,243.64,69.79,13.82
2010-8-20,247.44,69.79,13.95
2010-8-19,247.68,70.52,14.16
2010-8-18,250.84,71.64,14.57
2010-8-17,249.75,72.31,14.46
2010-8-16,245.46,71.59,14.35
2010-8-13,246.91,71.30,14.28
2010-8-12,249.57,71.00,14.39
2010-8-11,247.99,71.06,14.57
2010-8-10,257.13,72.81,15.08
2010-8-9,259.45,73.05,15.21
2010-8-6,257.80,72.53,15.27
2010-8-5,259.40,72.84,15.34
2010-8-4,260.67,72.80,15.30
2010-8-3,259.62,72.46,15.22
2010-8-2,259.55,71.67,15.23
2010-7-30,254.99,70.21,14.96
2010-7-29,255.84,70.03,14.99
2010-7-28,258.66,69.61,14.90
2010-7-27,261.76,69.37,15.02
2010-7-26,257.00,68.74,14.98
2010-7-23,257.65,67.73,14.58
2010-7-22,256.74,67.66,14.12
2010-7-21,252.00,66.49,13.78
2010-7-20,249.67,67.34,13.87
2010-7-19,243.42,66.33,13.57
2010-7-16,247.70,65.87,13.51
2010-7-15,249.24,67.29,14.16
2010-7-14,250.51,67.30,14.11
2010-7-13,249.58,67.46,14.12
2010-7-12,255.03,66.19,13.86
2010-7-9,257.33,66.18,13.88
2010-7-8,255.82,64.86,13.77
2010-7-7,256.39,63.98,13.57
2010-7-6,246.44,62.24,12.97
2010-7-2,244.77,62.01,12.88
2010-7-1,246.29,62.17,13.11
2010-6-30,249.32,62.52,13.39
2010-6-29,253.92,62.98,13.44
2010-6-28,265.94,64.45,13.92
2010-6-25,264.35,64.54,13.84
2010-6-24,266.63,65.25,14.00
2010-6-23,268.58,66.57,14.29
2010-6-22,271.44,68.17,14.66
2010-6-21,267.79,69.76,14.95
2010-6-18,271.66,69.57,14.81
2010-6-17,269.48,69.39,14.77
2010-6-16,264.90,69.05,14.62
2010-6-15,257.40,69.30,14.57
2010-6-14,252.04,68.34,14.20
2010-6-11,251.28,68.23,14.35
2010-6-10,248.30,68.33,14.46
2010-6-9,241.06,65.21,14.13
2010-6-8,247.14,65.43,14.28
2010-6-7,248.73,65.73,14.21
2010-6-4,253.71,65.67,14.49
2010-6-3,260.80,68.09,15.17
2010-6-2,261.63,68.29,15.08
2010-6-1,258.53,66.60,14.74
2010-5-28,254.62,68.05,15.08
2010-5-27,251.12,68.50,15.37
2010-5-26,241.96,65.91,14.77
2010-5-25,243.06,66.85,14.71
2010-5-24,244.59,67.66,14.77
2010-5-21,240.19,68.61,15.15
2010-5-20,235.67,67.80,15.00
2010-5-19,246.15,70.57,15.92
2010-5-18,250.14,70.80,15.89
2010-5-17,251.98,71.61,16.20
2010-5-14,251.59,71.04,16.27
2010-5-13,256.09,72.03,16.65
2010-5-12,259.78,73.07,17.01
2010-5-11,254.26,72.74,16.60
2010-5-10,251.75,72.92,16.64
2010-5-7,233.78,70.37,15.57
2010-5-6,244.08,70.46,15.97
2010-5-5,253.74,73.19,16.70
2010-5-4,256.40,73.71,17.14
2010-5-3,264.01,75.60,17.77
2010-4-30,258.79,74.33,17.40
2010-4-29,266.28,75.11,17.98
2010-4-28,259.30,73.58,17.48
2010-4-27,259.73,73.23,17.25
2010-4-26,267.13,75.38,17.80
2010-4-23,268.45,75.45,17.59
2010-4-22,264.12,74.11,17.48
2010-4-21,256.94,74.77,17.55
2010-4-20,242.44,74.89,17.53
2010-4-19,244.90,74.22,17.47
2010-4-16,245.22,73.70,17.50
2010-4-15,246.73,74.47,17.99
2010-4-14,243.53,73.55,17.85
2010-4-13,240.30,73.21,17.48
2010-4-12,240.16,73.41,17.26
2010-4-9,239.66,72.56,17.08
2010-4-8,237.84,70.88,17.12
2010-4-7,238.48,70.62,17.06
2010-4-6,237.43,71.08,17.16
2010-4-5,236.39,70.88,17.09
2010-4-1,233.89,70.00,16.91
2010-3-31,232.93,69.21,16.79
2010-3-30,233.77,68.73,16.88
2010-3-29,230.34,68.66,16.97
2010-3-26,228.87,67.93,16.92
2010-3-25,224.65,67.36,16.88
2010-3-24,227.35,67.48,17.02
